Date;Start;End;Germany/Luxembourg;Austria;Poland;Czech Republic;Hungary
Feb 7, 2024;12:00 AM;1:00 AM;41.17;44.79;54.91;45.08;47.53
Feb 7, 2024;1:00 AM;2:00 AM;35.52;40.8;52.37;40.75;43.82
Feb 7, 2024;2:00 AM;3:00 AM;34.15;39.9;50.65;39.76;42.66
Feb 7, 2024;3:00 AM;4:00 AM;46.59;47.23;50.65;47.95;48.13
Feb 7, 2024;4:00 AM;5:00 AM;54.47;51.42;56.03;53.98;52.85
Feb 7, 2024;5:00 AM;6:00 AM;59.63;58.24;57.83;59.08;58.49
Feb 7, 2024;6:00 AM;7:00 AM;74.83;74.51;77.74;75.55;76.02
Feb 7, 2024;7:00 AM;8:00 AM;86.67;85.23;85.61;86.3;85.73
Feb 7, 2024;8:00 AM;9:00 AM;87;86.16;86.89;87.06;86.49
Feb 7, 2024;9:00 AM;10:00 AM;85.53;83.38;84.72;84.78;84
Feb 7, 2024;10:00 AM;11:00 AM;81.17;78.86;80.33;80.09;79.38
Feb 7, 2024;11:00 AM;12:00 PM;78.01;75.87;77.38;77;76.35
Feb 7, 2024;12:00 PM;1:00 PM;75.98;74.21;75.98;75.41;74.62
Feb 7, 2024;1:00 PM;2:00 PM;79.24;75.92;78.29;78.04;76.71
Feb 7, 2024;2:00 PM;3:00 PM;77.99;75.95;77.32;77.22;76.44
Feb 7, 2024;3:00 PM;4:00 PM;88.21;84.08;86.74;86.55;85.06
Feb 7, 2024;4:00 PM;5:00 PM;97.3;91.33;95.51;95.22;93.38
Feb 7, 2024;5:00 PM;6:00 PM;120.05;111.39;116.93;116.3;113.5
Feb 7, 2024;6:00 PM;7:00 PM;136.22;128.05;119.46;132.67;130.05
Feb 7, 2024;7:00 PM;8:00 PM;109.7;107.05;108.72;108.52;107.7
Feb 7, 2024;8:00 PM;9:00 PM;99.91;96.84;98.88;98.68;97.62
Feb 7, 2024;9:00 PM;10:00 PM;87.65;86.64;95.59;88.5;89.45
Feb 7, 2024;10:00 PM;11:00 PM;83.63;82.8;89.84;84.13;84.67
Feb 7, 2024;11:00 PM;12:00 AM;79.21;77.25;79.21;78.37;77.86
Feb 8, 2024;12:00 AM;1:00 AM;73.7;73.7;77;73.7;73.7
Feb 8, 2024;1:00 AM;2:00 AM;73.2;73.2;78.36;73.2;73.2
Feb 8, 2024;2:00 AM;3:00 AM;72.15;72.15;78.34;72.15;72.15
Feb 8, 2024;3:00 AM;4:00 AM;72.94;70.25;78.4;72.08;71.23
Feb 8, 2024;4:00 AM;5:00 AM;73.65;70.81;76.95;72.73;71.73
Feb 8, 2024;5:00 AM;6:00 AM;77.85;75.88;82.5;77.95;77.8
Feb 8, 2024;6:00 AM;7:00 AM;87.08;90.56;109.59;91.78;95.94
Feb 8, 2024;7:00 AM;8:00 AM;110;106.62;113.37;109.42;108.51
Feb 8, 2024;8:00 AM;9:00 AM;133.15;124.86;128.06;129.39;126.42
Feb 8, 2024;9:00 AM;10:00 AM;113.55;105.87;110.42;110;107.32
Feb 8, 2024;10:00 AM;11:00 AM;97.79;90.85;98.11;94.57;92.16
Feb 8, 2024;11:00 AM;12:00 PM;91.87;85.17;105.23;89.22;87.26
Feb 8, 2024;12:00 PM;1:00 PM;89.38;80.93;103.54;85.47;82.98
Feb 8, 2024;1:00 PM;2:00 PM;90.98;83.19;98.04;88.2;86.01
Feb 8, 2024;2:00 PM;3:00 PM;94.9;89.23;96.79;93.64;91.42
Feb 8, 2024;3:00 PM;4:00 PM;94.38;91.46;106.67;95.98;95.64
Feb 8, 2024;4:00 PM;5:00 PM;93.01;95.53;123.38;99.67;103.05
Feb 8, 2024;5:00 PM;6:00 PM;103;104.38;132.81;109.09;112.07
Feb 8, 2024;6:00 PM;7:00 PM;94.67;98.76;127.7;102.42;106.48
Feb 8, 2024;7:00 PM;8:00 PM;86.06;95.14;127.93;97.07;103.76
Feb 8, 2024;8:00 PM;9:00 PM;83.2;89.94;120.39;92.48;98.24
Feb 8, 2024;9:00 PM;10:00 PM;80.61;83.71;112.67;85.14;90.81
Feb 8, 2024;10:00 PM;11:00 PM;75.6;77.77;101.59;79.22;83.66
Feb 8, 2024;11:00 PM;12:00 AM;65.98;67.45;88.25;71.18;74.22
Feb 9, 2024;12:00 AM;1:00 AM;60.43;59.38;80.97;63.16;66.2
Feb 9, 2024;1:00 AM;2:00 AM;58.61;56.93;79.48;62.84;64.69
Feb 9, 2024;2:00 AM;3:00 AM;55.74;56.31;79.48;60.59;62.83
Feb 9, 2024;3:00 AM;4:00 AM;51.61;54;81.1;58.15;61.56
Feb 9, 2024;4:00 AM;5:00 AM;49.96;53.39;82.59;57.44;61.54
Feb 9, 2024;5:00 AM;6:00 AM;52.32;57.13;87.63;60.85;65.59
Feb 9, 2024;6:00 AM;7:00 AM;59.08;68.52;106.54;71.32;78.98
Feb 9, 2024;7:00 AM;8:00 AM;66.79;76.13;114.34;80;88.21
Feb 9, 2024;8:00 AM;9:00 AM;70.13;78.66;112.96;81.86;89.33
Feb 9, 2024;9:00 AM;10:00 AM;68.37;76.31;103.09;78.16;84.56
Feb 9, 2024;10:00 AM;11:00 AM;69.52;73.03;86.88;74.4;77.9
Feb 9, 2024;11:00 AM;12:00 PM;69.94;72;88.64;75.14;79.89
Feb 9, 2024;12:00 PM;1:00 PM;67.85;69.89;90.26;74.02;79.79
Feb 9, 2024;1:00 PM;2:00 PM;67.74;70.7;93.75;74.62;79.65
Feb 9, 2024;2:00 PM;3:00 PM;73.22;74.56;93.36;78.13;80.8
Feb 9, 2024;3:00 PM;4:00 PM;81.56;80.1;95.28;84.34;85.38
Feb 9, 2024;4:00 PM;5:00 PM;90.12;86.61;95.6;89.61;88.95
Feb 9, 2024;5:00 PM;6:00 PM;95.45;92.7;96.39;94.61;93.74
Feb 9, 2024;6:00 PM;7:00 PM;95.45;94.57;96.72;95.28;95.14
Feb 9, 2024;7:00 PM;8:00 PM;87.05;88.56;95.06;88.5;90.27
Feb 9, 2024;8:00 PM;9:00 PM;80.44;84.15;97.58;83.54;87.35
Feb 9, 2024;9:00 PM;10:00 PM;75.2;75.96;79.25;75.92;76.79
Feb 9, 2024;10:00 PM;11:00 PM;74.91;74.91;77.78;74.91;74.91
Feb 9, 2024;11:00 PM;12:00 AM;70.94;70.94;78.58;70.94;70.94
Feb 10, 2024;12:00 AM;1:00 AM;63.1;63.1;75.71;63.1;63.1
Feb 10, 2024;1:00 AM;2:00 AM;64.08;64.08;75.49;64.08;64.08
Feb 10, 2024;2:00 AM;3:00 AM;64.4;64.4;75.35;64.4;64.4
Feb 10, 2024;3:00 AM;4:00 AM;64.39;64.39;75.37;64.39;64.39
Feb 10, 2024;4:00 AM;5:00 AM;64.41;64.41;75.44;64.41;64.41
Feb 10, 2024;5:00 AM;6:00 AM;65.82;65.82;75.74;65.82;65.82
Feb 10, 2024;6:00 AM;7:00 AM;70.91;70.91;75.78;70.91;70.91
Feb 10, 2024;7:00 AM;8:00 AM;74.86;74.86;74.86;74.86;74.86
Feb 10, 2024;8:00 AM;9:00 AM;77.7;77.7;77.7;77.7;77.7
Feb 10, 2024;9:00 AM;10:00 AM;80.38;80.38;86.21;80.38;80.38
Feb 10, 2024;10:00 AM;11:00 AM;74.59;74.64;97.62;74.63;74.64
Feb 10, 2024;11:00 AM;12:00 PM;69.43;69.48;99.94;69.46;69.47
Feb 10, 2024;12:00 PM;1:00 PM;68.3;66.18;99.47;66.05;64.63
Feb 10, 2024;1:00 PM;2:00 PM;66.72;66.72;99.57;66.72;66.72
Feb 10, 2024;2:00 PM;3:00 PM;69.53;69.53;98.78;69.53;69.53
Feb 10, 2024;3:00 PM;4:00 PM;77.17;77.17;91.36;77.17;77.17
Feb 10, 2024;4:00 PM;5:00 PM;86.13;84.97;85.84;85.78;85.38
Feb 10, 2024;5:00 PM;6:00 PM;88.95;88.09;88.73;88.73;88.4
Feb 10, 2024;6:00 PM;7:00 PM;87.62;88.99;87.9;88.46;88.52
Feb 10, 2024;7:00 PM;8:00 PM;81.01;81.14;80.97;81.14;81.13
Feb 10, 2024;8:00 PM;9:00 PM;74.4;74.4;74.4;74.4;74.4
Feb 10, 2024;9:00 PM;10:00 PM;67.84;67.89;75.69;67.91;67.92
Feb 10, 2024;10:00 PM;11:00 PM;65.86;66.47;74.63;66.13;66.12
Feb 10, 2024;11:00 PM;12:00 AM;63.46;63.55;71.83;63.5;63.51
Feb 11, 2024;12:00 AM;1:00 AM;55.48;55.48;67.82;55.48;55.53
Feb 11, 2024;1:00 AM;2:00 AM;53.67;53.67;57.98;53.81;53.75
Feb 11, 2024;2:00 AM;3:00 AM;52.6;52.6;56.81;52.6;52.6
Feb 11, 2024;3:00 AM;4:00 AM;46.83;46.83;56.39;46.83;46.83
Feb 11, 2024;4:00 AM;5:00 AM;43.64;43.28;56.41;43.65;43.44
Feb 11, 2024;5:00 AM;6:00 AM;46.25;46.1;57.81;46.2;46.14
Feb 11, 2024;6:00 AM;7:00 AM;49.19;49.37;57.96;49.42;49.25
Feb 11, 2024;7:00 AM;8:00 AM;53.16;53.39;58.6;53.67;54.28
Feb 11, 2024;8:00 AM;9:00 AM;55.06;56.59;64.2;56.45;58.28
Feb 11, 2024;9:00 AM;10:00 AM;57.97;58.64;73.01;58.43;58.74
Feb 11, 2024;10:00 AM;11:00 AM;61.16;61.64;73.48;61.64;62.43
Feb 11, 2024;11:00 AM;12:00 PM;65.54;65.41;73.77;65.89;67.54
Feb 11, 2024;12:00 PM;1:00 PM;64.6;64.25;73.52;64.91;66.65
Feb 11, 2024;1:00 PM;2:00 PM;62.12;59.16;73.08;61.21;62.19
Feb 11, 2024;2:00 PM;3:00 PM;63.99;60.12;70.22;62.76;63.34
Feb 11, 2024;3:00 PM;4:00 PM;66.3;61.94;69.85;64.35;63.09
Feb 11, 2024;4:00 PM;5:00 PM;70.69;66.32;69.31;68.95;67.78
Feb 11, 2024;5:00 PM;6:00 PM;78.5;75.47;77.55;77.3;76.48
Feb 11, 2024;6:00 PM;7:00 PM;80.74;83.08;81.31;82.02;82.21
Feb 11, 2024;7:00 PM;8:00 PM;79.72;81.43;80.15;80.55;80.79
Feb 11, 2024;8:00 PM;9:00 PM;76.75;76.78;76.75;76.76;76.76
Feb 11, 2024;9:00 PM;10:00 PM;70.72;70.72;70.72;70.72;70.72
Feb 11, 2024;10:00 PM;11:00 PM;68.39;68.39;69.39;68.39;68.39
Feb 11, 2024;11:00 PM;12:00 AM;64.01;64.01;73.1;64.01;64.01
Feb 12, 2024;12:00 AM;1:00 AM;64.35;64.35;73.16;64.35;64.35
Feb 12, 2024;1:00 AM;2:00 AM;61.59;60.78;74.25;60.19;58.59
Feb 12, 2024;2:00 AM;3:00 AM;60.65;60;74.16;59.07;57.25
Feb 12, 2024;3:00 AM;4:00 AM;59.39;59.39;74.25;58.16;56.36
Feb 12, 2024;4:00 AM;5:00 AM;59.21;59.21;74.9;59.21;59.21
Feb 12, 2024;5:00 AM;6:00 AM;65;65;77.02;65;65
Feb 12, 2024;6:00 AM;7:00 AM;76;76;106.32;76;76
Feb 12, 2024;7:00 AM;8:00 AM;85.41;85.41;110.67;85.41;85.41
Feb 12, 2024;8:00 AM;9:00 AM;104;104;104;104;104
Feb 12, 2024;9:00 AM;10:00 AM;96.5;96.5;96.5;96.5;96.5
Feb 12, 2024;10:00 AM;11:00 AM;85.47;85.47;85.47;85.47;85.47
Feb 12, 2024;11:00 AM;12:00 PM;79.14;78.97;80.04;79.55;81.01
Feb 12, 2024;12:00 PM;1:00 PM;67.37;69.79;79.89;70.34;73.94
Feb 12, 2024;1:00 PM;2:00 PM;63.75;67.92;82.97;68.06;72.01
Feb 12, 2024;2:00 PM;3:00 PM;63.95;70.16;92.51;70.35;76.25
Feb 12, 2024;3:00 PM;4:00 PM;66.4;73.63;100.15;73.9;80.77
Feb 12, 2024;4:00 PM;5:00 PM;78.42;80.1;94.49;81.61;84.48
Feb 12, 2024;5:00 PM;6:00 PM;93.9;90.46;93.28;92.56;91.36
Feb 12, 2024;6:00 PM;7:00 PM;96;96;96;96;96
Feb 12, 2024;7:00 PM;8:00 PM;89.08;89.08;89.08;89.08;89.08
Feb 12, 2024;8:00 PM;9:00 PM;79.15;79.15;101.66;79.15;79.15
Feb 12, 2024;9:00 PM;10:00 PM;71.54;71.54;83.92;71.54;71.54
Feb 12, 2024;10:00 PM;11:00 PM;65.87;65.87;75.23;65.87;65.87
Feb 12, 2024;11:00 PM;12:00 AM;61.9;61.9;72.67;61.9;61.9
Feb 13, 2024;12:00 AM;1:00 AM;68.59;68.59;-;68.59;68.59
Feb 13, 2024;1:00 AM;2:00 AM;65.37;65.37;-;65.37;65.37
Feb 13, 2024;2:00 AM;3:00 AM;63.41;63.41;-;63.41;63.41
Feb 13, 2024;3:00 AM;4:00 AM;60.49;60.49;-;60.49;60.49
Feb 13, 2024;4:00 AM;5:00 AM;60.06;60.06;-;60.06;60.06
Feb 13, 2024;5:00 AM;6:00 AM;63.59;63.59;-;63.59;63.59
Feb 13, 2024;6:00 AM;7:00 AM;70.69;70.97;-;70.95;71.29
Feb 13, 2024;7:00 AM;8:00 AM;82.18;86.38;-;86.03;89.6
Feb 13, 2024;8:00 AM;9:00 AM;89.1;89.2;-;89.19;89.28
Feb 13, 2024;9:00 AM;10:00 AM;75.12;75.12;-;75.12;75.12
Feb 13, 2024;10:00 AM;11:00 AM;69.21;69.21;-;69.21;69.21
Feb 13, 2024;11:00 AM;12:00 PM;63.87;63.87;-;63.87;63.87
Feb 13, 2024;12:00 PM;1:00 PM;60.53;60.53;-;60.53;60.53
Feb 13, 2024;1:00 PM;2:00 PM;60.26;60.26;-;60.26;60.26
Feb 13, 2024;2:00 PM;3:00 PM;63.1;63.1;-;63.1;63.1
Feb 13, 2024;3:00 PM;4:00 PM;70.7;70.7;-;70.7;70.7
Feb 13, 2024;4:00 PM;5:00 PM;78.36;86.16;-;85.93;92.85
Feb 13, 2024;5:00 PM;6:00 PM;95.01;97.22;-;98.86;102.32
Feb 13, 2024;6:00 PM;7:00 PM;99.88;102.83;-;102.55;106.04
Feb 13, 2024;7:00 PM;8:00 PM;90.99;96.66;-;95.51;101.39
Feb 13, 2024;8:00 PM;9:00 PM;77.97;86.49;-;84.78;93.41
Feb 13, 2024;9:00 PM;10:00 PM;71.86;80.49;-;79.01;88.13
Feb 13, 2024;10:00 PM;11:00 PM;68.39;73.62;-;72.73;78.24
Feb 13, 2024;11:00 PM;12:00 AM;64.74;66.68;-;66.45;68.83
Feb 14, 2024;12:00 AM;1:00 AM;60.63;60.63;76.38;60.63;60.63
Feb 14, 2024;1:00 AM;2:00 AM;59.34;59.34;83.17;59.34;59.34
Feb 14, 2024;2:00 AM;3:00 AM;55.76;55.76;85.36;55.76;55.76
Feb 14, 2024;3:00 AM;4:00 AM;54.79;54.79;85.85;54.79;54.79
Feb 14, 2024;4:00 AM;5:00 AM;55.06;55.06;75.82;55.06;55.06
Feb 14, 2024;5:00 AM;6:00 AM;58.43;63.78;82.27;62.88;68.42
Feb 14, 2024;6:00 AM;7:00 AM;63.23;74.99;116.21;72.99;85.22
