"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2024","82.13","82.33","83.12","81.57","","-1.82%"
"02/27/2024","83.65","82.64","83.70","82.10","79.81K","1.36%"
"02/26/2024","82.53","81.41","83.07","81.00","180.34K","1.11%"
"02/23/2024","81.62","83.39","83.48","81.43","226.40K","-2.45%"
"02/22/2024","83.67","83.20","83.96","82.33","275.28K","0.77%"
"02/21/2024","83.03","82.50","83.17","81.66","305.18K","0.84%"
"02/20/2024","82.34","83.24","83.63","82.05","297.03K","-1.46%"
"02/19/2024","83.56","83.28","83.60","82.55","185.06K","0.11%"
"02/16/2024","83.47","82.79","83.66","81.89","337.06K","0.74%"
"02/15/2024","82.86","81.42","83.25","80.72","330.45K","1.54%"
"02/14/2024","81.60","82.60","83.60","81.39","344.36K","-1.41%"
"02/13/2024","82.77","82.00","83.24","81.96","331.80K","0.94%"
"02/12/2024","82.00","81.94","82.19","80.77","246.24K","-0.23%"
"02/09/2024","82.19","81.72","82.45","81.21","315.32K","0.69%"
"02/08/2024","81.63","79.30","81.90","79.03","436.50K","3.06%"
"02/07/2024","79.21","78.70","79.50","78.49","291.68K","0.79%"
"02/06/2024","78.59","77.95","79.08","77.63","305.61K","0.77%"
"02/05/2024","77.99","77.90","78.33","76.62","293.37K","0.85%"
"02/02/2024","77.33","79.15","79.44","76.85","411.75K","-1.74%"
"02/01/2024","78.70","80.57","81.55","78.57","525.77K","-3.68%"
"01/31/2024","81.71","82.94","82.94","81.59","14.38K","-1.40%"
"01/30/2024","82.87","82.62","83.30","81.34","89.31K","0.57%"
"01/29/2024","82.40","84.13","84.80","82.03","129.91K","-1.38%"
"01/26/2024","83.55","82.44","83.81","81.31","240.25K","1.36%"
"01/25/2024","82.43","80.31","82.57","80.06","248.18K","2.99%"
"01/24/2024","80.04","79.56","80.73","79.05","230.75K","0.62%"
"01/23/2024","79.55","79.92","80.43","78.70","331.10K","-0.64%"
"01/22/2024","80.06","78.89","80.55","77.81","319.71K","1.91%"
