"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2024","131.00","129.75","131.00","129.75","0.01K","1.39%"
"02/27/2024","129.20","130.50","130.50","129.00","0.08K","1.14%"
"02/26/2024","127.75","127.50","127.50","127.50","0.06K","6.99%"
"02/23/2024","119.40","119.40","119.40","119.40","","0.00%"
"02/22/2024","119.40","119.40","119.40","119.40","","0.00%"
"02/21/2024","119.40","115.00","115.00","115.00","0.00K","-0.17%"
"02/20/2024","119.60","119.60","119.60","119.60","","0.00%"
"02/19/2024","119.60","119.60","119.60","119.60","","0.29%"
"02/16/2024","119.25","119.25","119.25","119.25","","0.00%"
"02/15/2024","119.25","119.25","119.25","119.25","","-0.42%"
"02/14/2024","119.75","119.75","119.75","119.75","","-0.62%"
"02/13/2024","120.50","120.50","120.50","120.50","","0.42%"
"02/12/2024","120.00","120.00","120.00","120.00","","-0.50%"
"02/09/2024","120.60","120.60","120.60","120.60","","0.00%"
"02/08/2024","120.60","120.00","120.00","120.00","0.01K","0.08%"
"02/07/2024","120.50","120.50","120.50","120.50","0.02K","1.26%"
"02/06/2024","119.00","119.00","119.00","119.00","","0.00%"
"02/05/2024","119.00","119.00","119.00","119.00","","1.93%"
"02/02/2024","116.75","116.00","116.00","116.00","0.09K","0.65%"
"02/01/2024","116.00","116.00","116.00","116.00","0.02K","-0.43%"
"01/31/2024","116.50","116.50","116.50","116.50","0.02K","-2.55%"
"01/30/2024","119.55","118.00","118.00","118.00","0.04K","2.71%"
"01/29/2024","116.40","116.00","116.00","116.00","0.03K","-8.42%"
"01/26/2024","127.10","118.25","118.25","118.25","","0.24%"
"01/25/2024","126.80","126.80","126.80","126.80","","-0.31%"
"01/24/2024","127.20","127.20","127.20","127.20","","-0.08%"
"01/23/2024","127.30","127.30","127.30","127.30","0.04K","-0.12%"
"01/22/2024","127.45","127.45","127.45","127.45","","-0.43%"
"01/19/2024","128.00","128.00","128.00","128.00","","-0.70%"
"01/18/2024","128.90","128.90","128.90","128.90","","-0.46%"
"01/17/2024","129.50","129.50","129.50","129.50","0.01K","0.00%"
"01/16/2024","129.50","129.00","129.00","129.00","0.00K","-0.27%"
"01/15/2024","129.85","129.85","129.85","129.85","0.01K","-0.76%"
"01/12/2024","130.85","130.85","130.85","130.85","0.07K","0.08%"
"01/11/2024","130.75","130.75","130.75","130.75","0.03K","-2.06%"
"01/10/2024","133.50","133.50","133.50","133.50","0.05K","-1.58%"
"01/09/2024","135.65","134.50","134.50","134.00","0.05K","2.77%"
"01/08/2024","132.00","131.50","131.50","131.50","0.09K","0.34%"
"01/05/2024","131.55","131.55","131.55","131.55","0.01K","0.50%"
"01/04/2024","130.90","130.90","130.90","130.90","0.08K","1.87%"
"01/03/2024","128.50","128.50","128.50","128.50","0.08K","0.59%"
"01/02/2024","127.75","132.00","132.00","131.90","0.04K","-12.74%"
"12/29/2023","146.40","146.40","146.40","146.40","","0.65%"
"12/28/2023","145.45","145.45","145.45","145.45","","-0.38%"
"12/27/2023","146.00","146.00","146.00","146.00","","0.34%"
"12/26/2023","145.50","145.50","145.50","145.50","","0.00%"
"12/22/2023","145.50","145.50","145.50","145.50","","0.17%"
"12/21/2023","145.25","145.25","145.25","145.25","0.02K","0.69%"
"12/20/2023","144.25","144.25","144.25","144.25","","-0.69%"
"12/19/2023","145.25","145.25","145.25","145.25","","0.35%"
"12/18/2023","144.75","144.75","144.75","144.75","","-0.34%"
"12/15/2023","145.25","145.25","145.25","145.25","","-0.17%"
"12/14/2023","145.50","145.50","145.50","145.50","","-0.51%"
"12/13/2023","146.25","146.25","146.25","146.25","0.02K","0.00%"
"12/12/2023","146.25","145.00","146.00","145.00","0.01K","-4.10%"
"12/11/2023","152.50","152.50","152.50","152.50","0.01K","0.99%"
"12/08/2023","151.00","151.00","151.00","151.00","","1.51%"
"12/07/2023","148.75","148.75","148.75","148.75","0.01K","5.91%"
"12/06/2023","140.45","140.45","140.45","140.45","0.02K","4.70%"
"12/05/2023","134.15","134.15","134.15","134.15","0.01K","-0.22%"
"12/04/2023","134.45","135.00","135.00","135.00","0.02K","0.71%"
"12/01/2023","133.50","133.50","133.50","133.50","0.16K","1.02%"
"11/30/2023","132.15","132.15","132.15","132.15","0.21K","3.36%"
"11/29/2023","127.85","129.00","129.00","129.00","0.19K","0.31%"
"11/28/2023","127.45","127.45","127.45","127.45","0.01K","-0.04%"
"11/27/2023","127.50","128.00","128.00","128.00","0.02K","4.51%"
"11/24/2023","122.00","128.00","128.00","128.00","","-0.12%"
"11/23/2023","122.15","122.15","122.15","122.15","","0.00%"
"11/22/2023","122.15","122.15","122.15","122.15","","-0.12%"
"11/21/2023","122.30","122.30","122.30","122.30","","-0.16%"
"11/20/2023","122.50","122.50","122.50","122.50","","-0.61%"
"11/17/2023","123.25","123.25","123.25","123.25","","0.12%"
"11/16/2023","123.10","123.10","123.10","123.10","","-0.12%"
"11/15/2023","123.25","123.25","123.25","123.25","","0.61%"
"11/14/2023","122.50","122.50","122.50","122.50","","0.41%"
"11/13/2023","122.00","122.00","122.00","122.00","","-1.01%"
"11/10/2023","123.25","123.25","123.25","123.25","","0.20%"
"11/09/2023","123.00","123.00","123.00","122.50","0.03K","0.41%"
"11/08/2023","122.50","122.50","122.50","122.50","0.08K","2.00%"
"11/07/2023","120.10","120.10","120.10","120.10","0.06K","0.92%"
"11/06/2023","119.00","119.00","119.00","119.00","0.18K","-2.86%"
"11/03/2023","122.50","122.50","122.50","122.50","0.00K","2.08%"
"11/02/2023","120.00","118.00","118.00","118.00","0.09K","0.29%"
"11/01/2023","119.65","117.45","117.45","117.45","0.00K","-1.20%"
"10/31/2023","121.10","123.50","123.50","123.50","0.06K","-7.56%"
"10/30/2023","131.00","131.00","131.00","131.00","0.02K","-3.11%"
"10/27/2023","135.20","135.20","135.20","135.20","","-0.37%"
"10/26/2023","135.70","135.70","135.70","135.70","","1.65%"
"10/25/2023","133.50","133.50","133.50","133.50","","-2.20%"
"10/24/2023","136.50","136.50","136.50","136.50","0.02K","-1.34%"
"10/23/2023","138.35","138.35","138.35","138.35","0.01K","0.25%"
"10/20/2023","138.00","138.00","138.00","138.00","","1.10%"
"10/19/2023","136.50","136.50","136.50","136.50","","-2.50%"
"10/18/2023","140.00","139.50","139.50","139.50","0.02K","-1.58%"
"10/17/2023","142.25","142.25","142.25","142.25","0.01K","-1.04%"
"10/16/2023","143.75","143.75","143.75","143.75","","-0.07%"
"10/13/2023","143.85","143.85","143.85","143.85","0.02K","0.84%"
"10/12/2023","142.65","142.65","142.65","142.65","","1.53%"
"10/11/2023","140.50","141.50","141.50","141.50","0.01K","-0.99%"
"10/10/2023","141.90","141.90","141.90","141.90","0.04K","0.39%"
"10/09/2023","141.35","141.35","141.35","141.35","0.02K","2.06%"
"10/06/2023","138.50","138.50","138.50","138.50","0.01K","-0.36%"
"10/05/2023","139.00","140.00","140.00","140.00","0.01K","-3.91%"
"10/04/2023","144.65","145.00","145.00","145.00","0.03K","-3.34%"
"10/03/2023","149.65","150.00","150.00","150.00","0.10K","-3.14%"
"10/02/2023","154.50","155.00","155.00","155.00","0.01K","-3.50%"
"09/29/2023","160.10","157.00","157.00","157.00","","0.22%"
"09/28/2023","159.75","159.75","159.75","159.75","","-0.37%"
"09/27/2023","160.35","160.35","160.35","160.35","","0.00%"
"09/26/2023","160.35","160.35","160.35","160.35","","0.22%"
