"Date","Price","Open","High","Low","Vol.","Change %"
"02/12/2024","26.55","26.75","26.95","26.43","8.42K","-2.66%"
"02/09/2024","27.27","27.92","27.92","27.20","7.99K","-3.28%"
"02/08/2024","28.20","28.28","28.95","28.08","8.29K","-1.71%"
"02/07/2024","28.69","28.77","29.33","28.40","5.17K","-0.55%"
"02/06/2024","28.85","28.90","29.61","28.20","5.21K","0.52%"
"02/05/2024","28.70","30.87","31.00","28.67","5.90K","-4.81%"
"02/02/2024","30.15","29.35","30.20","29.15","5.93K","1.69%"
"02/01/2024","29.65","30.50","31.35","29.63","7.19K","-3.87%"
"01/31/2024","30.84","30.17","31.65","29.68","7.72K","1.88%"
"01/30/2024","30.27","29.02","30.33","28.50","6.60K","3.70%"
"01/29/2024","29.19","29.50","30.09","28.85","6.41K","1.72%"
"01/26/2024","28.70","28.40","29.77","27.65","6.45K","0.19%"
"01/25/2024","28.65","29.88","30.19","28.50","4.51K","-3.55%"
"01/24/2024","29.70","28.26","29.97","28.16","5.65K","5.32%"
"01/23/2024","28.20","28.48","28.75","27.70","4.19K","-0.81%"
"01/22/2024","28.43","27.66","28.65","27.40","4.61K","-1.80%"
"01/19/2024","28.95","29.00","29.70","28.62","4.86K","1.40%"
"01/18/2024","28.55","28.00","28.95","27.90","3.92K","1.26%"
"01/17/2024","28.19","29.65","29.85","27.72","5.25K","-4.75%"
"01/16/2024","29.60","30.08","30.77","29.37","4.80K","-1.51%"
"01/15/2024","30.06","31.49","31.67","29.45","3.96K","-5.04%"
"01/12/2024","31.65","31.07","32.15","31.07","4.79K","2.43%"
"01/11/2024","30.90","30.60","31.15","30.40","4.54K","-1.04%"
"01/10/2024","31.23","31.56","31.59","30.35","4.06K","0.63%"
"01/09/2024","31.03","31.00","31.86","30.42","5.27K","-1.97%"
"01/08/2024","31.66","33.50","33.87","31.33","4.76K","-7.17%"
"01/05/2024","34.10","33.01","34.70","32.37","4.97K","1.65%"
"01/04/2024","33.54","32.90","33.79","31.97","5.44K","2.12%"
"01/03/2024","32.85","30.40","32.96","30.40","4.44K","8.77%"
"01/02/2024","30.20","33.19","33.30","30.05","3.80K","-5.67%"
"12/29/2023","32.01","33.25","33.96","31.59","","-4.93%"
"12/28/2023","33.67","34.26","34.26","33.01","3.49K","-4.47%"
"12/27/2023","35.25","35.28","36.88","35.21","2.63K","2.19%"
"12/22/2023","34.49","34.15","34.50","33.35","2.74K","0.36%"
"12/21/2023","34.37","34.39","35.82","33.85","6.19K","1.09%"
"12/20/2023","34.00","33.70","34.65","32.90","3.82K","0.89%"
"12/19/2023","33.70","34.53","34.53","32.44","4.84K","-4.13%"
"12/18/2023","35.15","35.10","37.24","32.98","6.84K","3.20%"
"12/15/2023","34.06","34.20","34.72","33.30","4.45K","-2.25%"
"12/14/2023","34.85","36.38","36.38","34.80","3.66K","-2.97%"
"12/13/2023","35.91","34.60","36.10","34.60","3.43K","3.04%"
"12/12/2023","34.85","35.92","36.67","34.78","5.10K","-4.91%"
"12/11/2023","36.65","36.42","37.08","36.00","5.67K","-5.17%"
"12/08/2023","38.65","40.20","41.12","38.31","4.31K","-2.77%"
"12/07/2023","39.75","38.70","40.50","38.70","3.44K","1.92%"
"12/06/2023","39.00","37.47","39.40","37.44","4.10K","3.19%"
"12/05/2023","37.79","39.80","39.82","37.63","5.90K","-5.94%"
"12/04/2023","40.18","42.20","42.20","39.84","3.60K","-7.13%"
"12/01/2023","43.26","42.19","43.37","41.30","3.65K","4.63%"
"11/30/2023","41.35","40.15","42.25","39.92","4.24K","2.86%"
"11/29/2023","40.20","42.20","43.05","40.10","7.13K","-6.58%"
"11/28/2023","43.03","43.19","43.52","42.35","4.43K","-2.87%"
"11/27/2023","44.30","44.92","44.92","43.76","2.52K","-2.88%"
"11/24/2023","45.62","45.82","47.04","45.50","2.63K","-1.71%"
"11/23/2023","46.41","46.27","46.60","44.92","3.92K","2.01%"
"11/22/2023","45.49","45.05","45.57","43.72","3.09K","2.70%"
"11/21/2023","44.30","46.25","46.42","43.85","3.33K","-3.60%"
"11/20/2023","45.96","47.10","47.75","45.30","2.22K","1.33%"
"11/17/2023","45.35","46.40","47.00","45.31","1.89K","-1.84%"
"11/16/2023","46.20","46.95","47.79","46.00","2.63K","-1.70%"
"11/15/2023","47.00","48.76","49.22","46.63","2.51K","-1.43%"
"11/14/2023","47.68","47.33","48.17","45.80","2.35K","1.12%"
"11/13/2023","47.15","45.85","47.80","44.78","3.25K","1.18%"
"11/10/2023","46.60","48.90","48.90","46.00","3.44K","-3.52%"
"11/09/2023","48.30","45.70","48.95","45.70","3.76K","5.23%"
"11/08/2023","45.90","46.50","46.70","45.28","2.91K","-1.63%"
"11/07/2023","46.66","46.00","47.42","45.41","2.91K","1.99%"
"11/06/2023","45.75","47.00","47.38","45.50","3.49K","-6.06%"
"11/03/2023","48.70","49.50","50.10","47.51","3.37K","-1.23%"
"11/02/2023","49.31","49.00","49.47","46.85","3.42K","0.88%"
"11/01/2023","48.88","48.15","49.10","47.10","2.60K","-6.26%"
"10/30/2023","52.14","54.00","55.45","51.85","2.75K","-2.45%"
"10/27/2023","53.45","53.00","53.75","51.90","2.00K","1.71%"
"10/26/2023","52.55","54.58","54.85","51.75","2.51K","-1.59%"
