air_temp,dhi,ghi,wind_speed_10m,period_end,period
5,0,0,2.4,2023-01-01T01:00:00Z,PT60M
4,0,0,2.7,2023-01-01T02:00:00Z,PT60M
4,0,0,2.7,2023-01-01T03:00:00Z,PT60M
4,0,0,2.4,2023-01-01T04:00:00Z,PT60M
3,0,0,2.1,2023-01-01T05:00:00Z,PT60M
3,0,0,2,2023-01-01T06:00:00Z,PT60M
3,1,1,1.8,2023-01-01T07:00:00Z,PT60M
3,27,45,1.7,2023-01-01T08:00:00Z,PT60M
5,86,116,1.5,2023-01-01T09:00:00Z,PT60M
6,106,124,1.8,2023-01-01T10:00:00Z,PT60M
8,111,111,2.6,2023-01-01T11:00:00Z,PT60M
9,113,113,2.7,2023-01-01T12:00:00Z,PT60M
9,102,102,2.4,2023-01-01T13:00:00Z,PT60M
10,82,112,2,2023-01-01T14:00:00Z,PT60M
9,26,27,2,2023-01-01T15:00:00Z,PT60M
8,0,0,2,2023-01-01T16:00:00Z,PT60M
6,0,0,2,2023-01-01T17:00:00Z,PT60M
5,0,0,1.8,2023-01-01T18:00:00Z,PT60M
5,0,0,1.9,2023-01-01T19:00:00Z,PT60M
4,0,0,2,2023-01-01T20:00:00Z,PT60M
4,0,0,2,2023-01-01T21:00:00Z,PT60M
4,0,0,2.1,2023-01-01T22:00:00Z,PT60M
4,0,0,2.1,2023-01-01T23:00:00Z,PT60M
4,0,0,1.9,2023-01-02T00:00:00Z,PT60M
4,0,0,2.2,2023-01-02T01:00:00Z,PT60M
4,0,0,2.6,2023-01-02T02:00:00Z,PT60M
4,0,0,2.9,2023-01-02T03:00:00Z,PT60M
4,0,0,2.9,2023-01-02T04:00:00Z,PT60M
4,0,0,2.8,2023-01-02T05:00:00Z,PT60M
4,0,0,2.7,2023-01-02T06:00:00Z,PT60M
5,0,0,2.9,2023-01-02T07:00:00Z,PT60M
5,7,7,3,2023-01-02T08:00:00Z,PT60M
5,44,44,2.9,2023-01-02T09:00:00Z,PT60M
6,66,66,2.8,2023-01-02T10:00:00Z,PT60M
7,84,84,2.7,2023-01-02T11:00:00Z,PT60M
7,90,90,2.6,2023-01-02T12:00:00Z,PT60M
7,56,56,2.2,2023-01-02T13:00:00Z,PT60M
7,39,39,1.7,2023-01-02T14:00:00Z,PT60M
7,13,13,1.5,2023-01-02T15:00:00Z,PT60M
7,0,0,1.4,2023-01-02T16:00:00Z,PT60M
6,0,0,1.2,2023-01-02T17:00:00Z,PT60M
6,0,0,1.1,2023-01-02T18:00:00Z,PT60M
6,0,0,1.4,2023-01-02T19:00:00Z,PT60M
6,0,0,1.5,2023-01-02T20:00:00Z,PT60M
6,0,0,1.6,2023-01-02T21:00:00Z,PT60M
6,0,0,1.3,2023-01-02T22:00:00Z,PT60M
6,0,0,1,2023-01-02T23:00:00Z,PT60M
5,0,0,0.8,2023-01-03T00:00:00Z,PT60M
5,0,0,0.5,2023-01-03T01:00:00Z,PT60M
5,0,0,0.5,2023-01-03T02:00:00Z,PT60M
4,0,0,0.6,2023-01-03T03:00:00Z,PT60M
4,0,0,0.6,2023-01-03T04:00:00Z,PT60M
4,0,0,0.7,2023-01-03T05:00:00Z,PT60M
4,0,0,1,2023-01-03T06:00:00Z,PT60M
4,0,0,1.3,2023-01-03T07:00:00Z,PT60M
4,29,35,1.5,2023-01-03T08:00:00Z,PT60M
5,94,130,1.8,2023-01-03T09:00:00Z,PT60M
6,137,185,1.9,2023-01-03T10:00:00Z,PT60M
7,125,125,1.8,2023-01-03T11:00:00Z,PT60M
8,112,112,2.1,2023-01-03T12:00:00Z,PT60M
8,63,63,2.1,2023-01-03T13:00:00Z,PT60M
8,37,37,1.8,2023-01-03T14:00:00Z,PT60M
8,14,14,1.7,2023-01-03T15:00:00Z,PT60M
8,0,0,1.9,2023-01-03T16:00:00Z,PT60M
7,0,0,2,2023-01-03T17:00:00Z,PT60M
7,0,0,1.8,2023-01-03T18:00:00Z,PT60M
7,0,0,1.7,2023-01-03T19:00:00Z,PT60M
7,0,0,1.7,2023-01-03T20:00:00Z,PT60M
7,0,0,1.9,2023-01-03T21:00:00Z,PT60M
5,0,0,1.8,2023-01-03T22:00:00Z,PT60M
4,0,0,1.9,2023-01-03T23:00:00Z,PT60M
3,0,0,2,2023-01-04T00:00:00Z,PT60M
2,0,0,1.8,2023-01-04T01:00:00Z,PT60M
2,0,0,1.7,2023-01-04T02:00:00Z,PT60M
2,0,0,1.6,2023-01-04T03:00:00Z,PT60M
2,0,0,1.4,2023-01-04T04:00:00Z,PT60M
2,0,0,1.3,2023-01-04T05:00:00Z,PT60M
2,0,0,1.1,2023-01-04T06:00:00Z,PT60M
2,1,1,0.7,2023-01-04T07:00:00Z,PT60M
1,31,64,0.7,2023-01-04T08:00:00Z,PT60M
2,44,178,1.2,2023-01-04T09:00:00Z,PT60M
3,57,261,1.3,2023-01-04T10:00:00Z,PT60M
5,67,302,1.4,2023-01-04T11:00:00Z,PT60M
6,59,303,1.9,2023-01-04T12:00:00Z,PT60M
7,55,251,2.6,2023-01-04T13:00:00Z,PT60M
8,44,160,3,2023-01-04T14:00:00Z,PT60M
8,33,35,3.2,2023-01-04T15:00:00Z,PT60M
8,0,0,3.7,2023-01-04T16:00:00Z,PT60M
7,0,0,4.3,2023-01-04T17:00:00Z,PT60M
7,0,0,4.5,2023-01-04T18:00:00Z,PT60M
7,0,0,4.4,2023-01-04T19:00:00Z,PT60M
7,0,0,4.1,2023-01-04T20:00:00Z,PT60M
